"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"trans-3-hydroxycinnamic acid","0.4117536","0.3069324","0.4036140","0.3581157","0.9034778","0.2898888","0.3151363","0.2527948","0.2924926","0.2920405","0.3861367","0.3516282","0.2385697","0.2646567","0.7703046"
"cytochalasin b","11.39530932"," 0.00000000"," 0.00000000"," 0.00000000"," 0.00000000","32.40628246"," 0.00000000"," 0.00000000","22.66348814"," 0.73381507"," 0.00000000"," 0.00000000"," 0.00000000","16.82489644"," 0.06634639"
"glu glu","18.591303","15.326644","17.031321","18.875419"," 5.606248","13.151537","13.571090"," 6.859749","12.917062"," 8.828102"," 7.227219","17.247538"," 4.672034"," 8.176994"," 9.119336"
"l-aspartic acid","19.96579","32.07155","30.13128","26.79078","32.72992","24.08887","25.02817","25.11029","31.04704","27.84802","25.05694","33.08897","27.89706","26.29258","30.84537"
"tropic acid","0.1859054","0.1176269","0.1642311","0.1483166","0.2247588","0.1268405","0.1395990","0.0000000","0.1211160","0.0000000","0.0000000","0.1629942","0.0000000","0.1108202","0.1948340"
"9-oxo-10e,12z-octadecadienoic acid","0.9655659","0.4423293","0.3901727","0.3880606","0.2451422","1.0756218","0.1696406","0.2063954","0.5232323","0.1415954","0.1747765","0.1854985","0.1212552","0.4388898","0.2516430"
"1-methylhistamine","0.7911687","0.3781793","0.4220568","0.4017988","0.4492134","0.2709174","0.3085177","0.5168235","0.2648550","0.2997062","0.6526044","0.1622015","0.6789086","0.2115879","0.3368295"
"citric acid","5.296250","5.799084","5.684836","6.393869","0.000000","4.564043","6.554581","0.000000","7.084913","0.000000","6.081867","7.678425","0.000000","5.341208","7.219945"
"13(s)-hode","1.7728095","1.5510437","1.2835501","1.9618626","1.0648800","1.5464337","0.9458318","1.0116223","1.2475544","0.8020480","1.7063756","1.1831045","0.8913440","1.3575614","1.2278153"
"phospho(enol)pyruvic acid","4.493491","4.475400","4.575863","3.518113","2.516823","4.290095","3.996089","4.345190","3.283978","3.128024","2.797962","4.465279","3.197249","3.854907","3.710146"
"cytosine","40.17500","38.25342","46.73035","34.38747","28.02897","38.22117","33.55106","26.62318","31.26026","30.42432","26.50560","40.75433","21.43107","27.42805","28.98104"
"adenosine, 5'-s-methyl-5'-thio-","0.8326755","2.8553401","2.8285485","2.6456911","2.7421755","2.4088109","2.5307910","0.5702252","2.5911011","1.3256094","0.7028093","3.7593725","1.8064424","3.1872224","3.4792871"
"13-keto-9z,11e-octadecadienoic acid","0.9655659","0.4423293","0.3901727","0.3880606","0.2451422","1.0756218","0.1730359","0.2063954","0.5232323","0.1828856","0.1747765","0.1854985","0.0000000","0.4388898","0.2516430"
"hypoxanthine","  0.6431578","  2.0768911","  0.5411645","  0.0000000","332.4761387","  5.2455082","253.3093708","201.7325112","231.9302114","235.2995713","241.3480637","342.4962276","416.2216897","238.9575189","272.2201946"
"d-proline"," 72.61134"," 65.76767"," 75.50702"," 67.28330","127.48702"," 58.69435"," 55.05524"," 34.41925"," 61.52524"," 56.14966"," 38.25699"," 73.49563"," 55.80419"," 55.22776","101.51049"
