taxa	LA-MOC-Lung-1_S1_L001	LA-MOC-Lung-1_S1_L002	LA-MOC-Lung-2_S2_L001	LA-MOC-Lung-2_S2_L002	LA-MOC-Lung-3_S3_L001	LA-MOC-Lung-3_S3_L002	LA-MOC-Lung-4_S4_L001	LA-MOC-Lung-4_S4_L002	LA-MOC-Lung-5_S5_L001	LA-MOC-Lung-5_S5_L002	LA-MOC-Tongue-1_S16_L001	LA-MOC-Tongue-1_S16_L002	LA-MOC-Tongue-2_S17_L001	LA-MOC-Tongue-2_S17_L002	LA-MOC-Tongue-3_S18_L001	LA-MOC-Tongue-3_S18_L002	LA-MOC-Tongue-4_S19_L001	LA-MOC-Tongue-4_S19_L002	LA-MOC-Tongue-5_S20_L001	LA-MOC-Tongue-5_S20_L002	PBS-Lung-1_S6_L001	PBS-Lung-1_S6_L002	PBS-Lung-2_S7_L001	PBS-Lung-2_S7_L002	PBS-Lung-3_S8_L001	PBS-Lung-3_S8_L002	PBS-Lung-4_S9_L001	PBS-Lung-4_S9_L002	PBS-Lung-5_S10_L001	PBS-Lung-5_S10_L002	PBS-Tongue-1_S21_L001	PBS-Tongue-1_S21_L002	PBS-Tongue-2_S22_L001	PBS-Tongue-2_S22_L002	PBS-Tongue-3_S23_L001	PBS-Tongue-3_S23_L002	PBS-Tongue-4_S24_L001	PBS-Tongue-4_S24_L002	PBS-Tongue-5_S25_L001	PBS-Tongue-5_S25_L002	pm-1-24hr_S35_L001	pm-1-24hr_S35_L002	pm-2-24hr_S36_L001	pm-2-24hr_S36_L002	pm-over-s-24hr_S51_L001	pm-over-s-24hr_S51_L002	pm-over-vp-24hr_S46_L001	pm-over-vp-24hr_S46_L002	pm-split-s-24hr_S48_L001	pm-split-s-24hr_S48_L002	pm-split-vp-24hr_S43_L001	pm-split-vp-24hr_S43_L002	s-1-24hr_S31_L001	s-1-24hr_S31_L002	s-2-24hr_S32_L001	s-2-24hr_S32_L002	s-mid-over-pm-24hr_S50_L001	s-mid-over-pm-24hr_S50_L002	s-over-pm-24hr_S49_L001	s-over-pm-24hr_S49_L002	s-over-vp-24hr_S41_L001	s-over-vp-24hr_S41_L002	s-split-pm-24hr_S47_L001	s-split-pm-24hr_S47_L002	s-split-vp-24hr_S38_L001	s-split-vp-24hr_S38_L002	UA-MOC-Lung-1_S11_L001	UA-MOC-Lung-1_S11_L002	UA-MOC-Lung-2_S12_L001	UA-MOC-Lung-2_S12_L002	UA-MOC-Lung-3_S13_L001	UA-MOC-Lung-3_S13_L002	UA-MOC-Lung-4_S14_L001	UA-MOC-Lung-4_S14_L002	UA-MOC-Lung-5_S15_L001	UA-MOC-Lung-5_S15_L002	UA-MOC-Tongue-1_S26_L001	UA-MOC-Tongue-1_S26_L002	UA-MOC-Tongue-2_S27_L001	UA-MOC-Tongue-2_S27_L002	UA-MOC-Tongue-3_S28_L001	UA-MOC-Tongue-3_S28_L002	UA-MOC-Tongue-4_S29_L001	UA-MOC-Tongue-4_S29_L002	UA-MOC-Tongue-5_S30_L001	UA-MOC-Tongue-5_S30_L002	vp-1-24hr_S33_L001	vp-1-24hr_S33_L002	vp-2-24hr_S34_L001	vp-2-24hr_S34_L002	vp-mid-over-pm-24hr_S45_L001	vp-mid-over-pm-24hr_S45_L002	vp-mid-over-s-24hr_S40_L001	vp-mid-over-s-24hr_S40_L002	vp-over-pm-24hr_S44_L001	vp-over-pm-24hr_S44_L002	vp-over-s-24hr_S39_L001	vp-over-s-24hr_S39_L002	vp-split-pm-24hr_S42_L001	vp-split-pm-24hr_S42_L002	vp-split-s-24hr_S37_L001	vp-split-s-24hr_S37_L002
Xanthomonas oryzae	7	3	3	1	3	0	1	1	8	4	0	0	5	6	2	0	1	4	2	1	1	0	6	0	0	0	15	8	15	11	0	0	1	7	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	6	7	9	9	4	6	4	2	0	6	5	2	2	5	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas translucens	2	1	0	0	0	0	0	2	0	2	1	1	0	1	5	0	2	0	3	3	0	1	2	5	0	0	5	1	1	2	2	4	1	2	0	1	0	2	1	4	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	2	1	0	0	4	2	0	2	0	4	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Blastococcus saxobsidens	1	1	0	0	0	0	1	0	2	1	1	1	2	5	1	2	4	2	3	4	2	1	1	1	0	1	4	2	0	2	1	2	5	4	6	5	5	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	5	1	1	2	0	4	7	2	1	8	7	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces cerevisiae	14	7	4	3	18	18	7	9	24	14	13	0	19	16	0	5	6	12	19	5	8	5	6	13	5	12	22	30	35	21	26	19	21	25	0	9	4	4	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	18	9	12	14	12	16	11	4	10	7	17	21	15	10	19	12	6	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudosulfitobacter pseudonitzschiae	1	0	0	0	0	0	0	0	1	1	0	1	1	1	2	1	0	1	0	0	0	0	0	1	0	0	1	2	2	1	1	0	2	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus sp. FSL P4-0081	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. X9	1	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	1	8	6	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	9	0	3	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basilea psittacipulmonis	2	5	2	0	1	3	5	2	3	1	0	2	3	4	0	1	2	0	1	4	1	1	0	3	1	1	8	5	7	9	0	1	1	3	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	3	4	5	7	4	4	2	1	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium sp. M3/9	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
Actinomyces sp. oral taxon 414	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	6	2	1	0	3	3	10	4	0	0	12	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	0	0	0
Streptosporangium sp. 'caverna'	4	4	0	0	0	2	2	0	6	0	1	1	4	2	1	2	1	1	0	1	3	1	2	3	1	0	3	8	7	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	6	2	0	7	5	8	3	1	4	0	1	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Planktophila versatilis	1	1	0	0	0	0	0	0	0	0	0	0	17	4	0	1	2	0	0	0	0	1	0	0	0	1	1	1	2	1	17	11	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter henricii	3	6	1	3	6	5	2	1	8	4	2	3	5	13	6	7	4	4	2	3	1	2	8	5	1	5	19	19	14	29	11	17	10	11	8	4	6	3	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	15	11	11	10	7	9	6	8	10	11	8	11	11	5	7	14	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasmodium vivax	1	2	1	2	5	0	0	2	1	1	4	0	0	3	0	0	0	0	1	1	0	1	3	0	1	3	1	3	7	6	5	0	1	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	7	0	4	3	1	1	1	0	3	0	1	7	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomicrospira microaerophila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Ktedonosporobacter rubrisoli	2	0	0	0	1	0	0	1	0	0	0	0	2	1	0	3	0	0	1	1	1	1	0	1	1	0	2	3	3	3	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	1	0	0	0	1	0	4	0	5	1	4	2	0	4	1	2	1	1	3	0	0	2	1	1	1	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0
Acanthamoeba astronyxis	38	43	19	13	77	89	54	50	75	80	137	113	153	134	88	96	114	128	89	74	38	46	58	73	52	53	119	111	148	113	114	97	136	148	60	60	74	57	117	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	79	95	95	54	58	88	88	59	67	122	111	104	87	117	153	83	102	38	51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pseudomonas fluorescens	10	8	1	0	3	0	1	0	1	6	0	2	2	2	0	6	3	4	4	0	4	1	2	0	0	0	6	10	3	2	1	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0	2	1	1	1	0	1	0	5	1	5	4	1	0	2	4	5	1	1	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Caulifigura coniformis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoravirus dulcis	30	31	4	5	22	26	21	15	29	34	16	13	37	32	44	23	18	25	20	26	18	24	16	22	19	24	43	67	54	38	30	25	35	29	14	21	15	15	23	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	26	33	49	17	9	28	33	23	14	58	44	24	31	17	27	21	21	18	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermus thermophilus	5	4	1	0	5	2	4	4	7	6	1	3	3	0	0	1	0	0	0	0	0	1	0	1	1	0	3	6	2	2	0	1	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3	2	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterioplanes sanyensis	1	0	0	0	0	0	2	1	2	0	1	1	2	1	0	0	2	0	1	0	0	0	1	0	0	0	0	4	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	5	2	0	2	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meiothermus ruber	7	0	1	0	8	0	0	0	9	3	10	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	11	11	15	8	12	11	7	3	2	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	7	0	5	5	9	6	5	10	13	10	9	0	0	2	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas sp. JS92-SW72	57	42	36	38	161	158	92	101	140	156	233	274	209	214	225	257	226	202	339	338	113	100	131	139	140	116	150	158	143	189	263	282	245	279	161	143	155	190	61	68	7	14	5	4	2	5	8	11	6	7	10	5	33	28	41	33	14	8	21	22	23	30	12	8	25	19	217	193	192	162	135	127	111	101	95	111	179	182	157	170	304	299	146	143	126	99	12	8	32	40	18	10	14	15	11	5	56	58	15	16	16	12
Prevotella sp. oral taxon 299	25	23	3	2	7	8	21	16	21	11	123	129	241	251	116	98	219	246	166	172	10	5	10	12	15	14	46	31	20	27	109	106	189	209	84	79	81	67	172	207	19	15	13	15	15	12	37	21	10	25	10	24	0	0	0	0	9	10	0	0	0	1	0	0	0	0	19	27	20	9	25	17	18	21	8	15	221	211	119	106	176	188	122	122	44	56	0	0	0	0	17	13	0	0	0	0	0	0	0	0	0	0
Aequorivita sublithincola	1	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	9	0	0	16	0	16	0	18	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	2	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium caowuchunii	2	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	7	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	1	2	1	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquincola tertiaricarbonis	1	0	1	0	1	0	0	0	2	4	9	7	4	7	8	12	8	3	5	4	1	1	1	1	3	1	4	2	3	6	6	6	7	8	2	2	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	5	1	3	4	3	1	6	4	4	2	3	3	1	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. S4.7	16	19	4	3	5	13	4	5	17	12	2	2	9	4	6	2	3	6	2	2	7	16	14	14	14	22	41	58	33	42	10	17	11	2	12	10	0	6	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	47	24	37	13	15	11	18	20	17	22	25	6	6	3	6	0	4	19	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shamonda orthobunyavirus	863	861	429	398	1110	1158	1522	1509	2626	2506	3981	4010	2104	2157	2547	2477	1862	1822	1964	2034	921	885	1634	1530	1532	1623	1753	1702	2575	2435	2830	2803	3519	3494	1887	1850	2384	2492	713	643	5	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1988	2030	2544	2350	1508	1498	1617	1607	1250	1187	2096	2103	2301	2302	4119	4046	1987	1958	1728	1727	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acinetobacter venetianus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldisphaera lagunensis	1	1	0	1	0	0	0	0	1	4	4	8	0	5	3	2	3	4	5	1	2	0	3	2	3	2	1	1	0	3	11	11	6	11	1	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	3	0	0	1	2	1	0	5	7	7	4	6	7	5	1	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella slithyformis	2	2	0	2	0	0	0	0	1	0	4	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	4	2	1	3	1	0	1	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	1	1	0	3	1	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parageobacillus toebii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium sp. M31R6	5	1	1	1	1	0	4	1	1	3	3	6	2	2	3	1	2	0	1	0	2	2	0	2	0	2	7	6	3	9	3	0	2	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	2	5	0	4	5	1	5	3	3	1	3	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pimelobacter simplex	2	0	0	0	2	0	0	4	1	2	0	0	0	3	1	1	1	0	1	5	0	1	1	3	2	1	5	6	0	6	1	1	1	0	1	0	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	3	4	1	3	0	1	0	0	1	1	2	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromicrobium erythreum	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
