"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map05225..Hepatocellular.carcinoma","map05225..Hepatocellular.carcinoma","33794"," 6799","15777","25823","29981","15899","24164","22174","80457","66026","39040","45832","33157","33371","24253"
"map05226..Gastric.cancer","map05226..Gastric.cancer","1891"," 510","1448","1426","2065","1290","2062","1461","5567","4732","3533","3812","2225","2827","2261"
"map05230..Central.carbon.metabolism.in.cancer","map05230..Central.carbon.metabolism.in.cancer"," 4659"," 1157"," 3331"," 3497"," 4853"," 2958"," 4645"," 3703","12309","10563"," 7716"," 8512"," 5480"," 6252"," 4911"
"map05231..Choline.metabolism.in.cancer","map05231..Choline.metabolism.in.cancer","2815"," 756","2243","2131","3085","1747","2908","2124","7827","6749","4790","5194","3255","4059","3092"
"map05235..PD.L1.expression.and.PD.1.checkpoint.pathway.in.cancer","map05235..PD.L1.expression.and.PD.1.checkpoint.pathway.in.cancer","2794"," 754","1927","2060","2913","1804","2955","2041","8061","6839","4950","5476","3140","4100","3132"
"map05322..Systemic.lupus.erythematosus","map05322..Systemic.lupus.erythematosus"," 5136"," 1389"," 4653"," 4807"," 6214"," 3397"," 5325"," 4458","12643","11830"," 8548"," 9135"," 6750"," 7167"," 5552"
"map05323..Rheumatoid.arthritis","map05323..Rheumatoid.arthritis","2199"," 423","1191","1580","1948"," 982","1718","1284","4713","3910","3162","3327","2195","2350","1892"
"map05340..Primary.immunodeficiency","map05340..Primary.immunodeficiency","12"," 2"," 4","12"," 8"," 6"," 6"," 6","19","23","16","12","15","10"," 5"
"map05410..Hypertrophic.cardiomyopathy","map05410..Hypertrophic.cardiomyopathy","34659"," 6962","17122","26339","30942","16785","25350","23586","84988","70409","40965","49333","34291","37054","26167"
"map05412..Arrhythmogenic.right.ventricular.cardiomyopathy","map05412..Arrhythmogenic.right.ventricular.cardiomyopathy","32207"," 6360","14386","24602","28075","14727","22389","21351","75837","62146","35950","42950","31102","31025","22311"
"map05414..Dilated.cardiomyopathy","map05414..Dilated.cardiomyopathy","32597"," 6459","14667","24892","28531","14997","22837","21643","77108","63124","36661","43754","31577","31654","22729"
"map05416..Viral.myocarditis","map05416..Viral.myocarditis","32573"," 6453","14900","24931","28543","14941","22637","21108","76183","62523","36210","42791","31539","31285","22535"
"map05418..Fluid.shear.stress.and.atherosclerosis","map05418..Fluid.shear.stress.and.atherosclerosis"," 44348","  9064"," 21388"," 33824"," 40268"," 21121"," 32747"," 29185","104072"," 86250"," 52112"," 60817"," 44073"," 44880"," 33851"
