"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00525..Acarbose.and.validamycin.biosynthesis","22","10","46","16","38","11","18","19","60","44","31","36","39","27","22"
"map00531..Glycosaminoglycan.degradation"," 445"," 110"," 353"," 333"," 441"," 287"," 398"," 302","1147"," 992"," 807"," 797"," 529"," 605"," 433"
"map00532..Glycosaminoglycan.biosynthesis...chondroitin.sulfate...dermatan.sulfate","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0"
"map00534..Glycosaminoglycan.biosynthesis...heparan.sulfate...heparin","3","0","1","2","1","0","0","1","3","5","1","1","1","0","2"
"map00540..Lipopolysaccharide.biosynthesis","3","0","0","4","6","4","1","2","3","4","7","5","2","4","4"
"map00541..O.Antigen.nucleotide.sugar.biosynthesis"," 590"," 147"," 444"," 479"," 568"," 340"," 529"," 395","1611","1219"," 856"," 936"," 684"," 693"," 526"
"map00550..Peptidoglycan.biosynthesis","15"," 0","12"," 5","27","13","14","10","19","20","22","18","10","22"," 8"
"map00561..Glycerolipid.metabolism"," 5451"," 1467"," 5284"," 3965"," 7659"," 4851"," 7258"," 5622","19948","18054","12115","14557"," 5731","11545"," 8349"
"map00562..Inositol.phosphate.metabolism","1534"," 376","1100","1113","1556","1064","1505","1197","4435","3917","2774","3150","1752","2338","1791"
"map00563..Glycosylphosphatidylinositol..GPI..anchor.biosynthesis","341"," 74","208","254","305","173","285","178","873","727","530","573","380","442","300"
"map00564..Glycerophospholipid.metabolism","1289"," 310"," 897"," 958","1515"," 870","1360","1034","3887","3160","2587","2868","1427","2130","1546"
"map00565..Ether.lipid.metabolism","357"," 79","192","258","357","198","334","273","980","789","630","738","381","480","406"
"map00571..Lipoarabinomannan..LAM..biosynthesis","0","0","0","0","0","0","0","0","2","1","0","1","0","1","0"
"map00572..Arabinogalactan.biosynthesis...Mycobacterium","1","0","0","0","1","0","0","0","0","0","3","1","0","0","0"
"map00590..Arachidonic.acid.metabolism","1915"," 592","2452","1604","2399","1546","2155","1599","4972","4450","3310","3470","2031","2958","1951"
"map00591..Linoleic.acid.metabolism"," 63","  8"," 30"," 26"," 49"," 51"," 50"," 47","156","119"," 80","100"," 63"," 74"," 59"
"map00592..alpha.Linolenic.acid.metabolism"," 561"," 158"," 502"," 498"," 656"," 394"," 583"," 423","1496","1220"," 976"," 965"," 637"," 736"," 556"
"map00600..Sphingolipid.metabolism"," 847"," 175"," 552"," 577"," 936"," 441"," 718"," 556","2084","1761","1340","1389"," 924","1063"," 789"
"map00601..Glycosphingolipid.biosynthesis...lacto.and.neolacto.series","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"map00603..Glycosphingolipid.biosynthesis...globo.and.isoglobo.series","200"," 47","145","140","163","110","141","121","445","383","354","311","196","252","200"
