"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"map00300.Lysine.biosynthesis","     436","   32679","     218","      32","     213","    8972","      87","     376","   35893","   14417","    1260","     432","     172","      55","     217","      88","      80","     186","     139","      36","      36","     414","      26","     280","     189","  315370","     223","    1366","  131772","      66","  148822","      46","  168823","     141","  190949","      58","       8","     738","    3928","     686","     156","      69","      84","    5746","     199","     342","     773","     100","     223","      88","     564","    6186","     396","     226","     606","      33","    6371","     105","   33741","      53"," 4887116","      46","      68","38119213","     137","     101"," 3866339","      71","   92546","      14"
"map01230.Biosynthesis.of.amino.acids","     3195","   223348","     1531","      255","     1861","    74158","      681","     2430","   236632","    88631","     8190","     3899","     1662","      459","     1508","      811","      582","     1711","     1132","      325","      224","     2882","      241","     2464","     1480","  1495064","     1710","     9399","   807031","      736","  1007418","      415","  1121663","     1211","  1151754","      372","      123","     4831","    28546","     5120","     1192","      522","      703","    46335","     1405","     3092","     5967","      982","     2007","      848","     5191","    52173","     3093","     1952","     3587","      268","    38929","      881","   222297","      501"," 30539570","      354","      780","205279513","      960","     1093"," 24727012","      584","   738708","      109"
"map00650.Butanoate.metabolism","     754","   49245","     291","      71","     491","   18766","     162","     546","   47050","   17092","    1879","    1109","     473","     118","     362","     226","     147","     423","     331","      62","      49","     466","      55","     547","     282","  236197","     367","    2052","  182306","     157","  213126","      89","  231239","     287","  252338","      84","      25","     881","    7015","    1141","     276","     139","     150","   11139","     309","     769","    1320","     271","     493","     240","    1491","   10646","     488","     557","     724","      77","    7064","     207","   40237","     121"," 5586445","      78","     173","49325610","     211","     238"," 5231123","     101","  155355","      32"
"map00640.Propanoate.metabolism","     977","   47436","     301","      59","     551","   21985","     179","     511","   42962","   15040","    1983","    1288","     465","     130","     473","     234","     162","     512","     315","      95","      86","     539","      82","     673","     324","  299525","     496","    2058","  158880","     170","  206661","     127","  233059","     345","  197038","      89","      20","     929","    8385","    1390","     353","     163","     165","   13181","     352","    1015","    1570","     326","     517","     280","    1574","   14536","     668","     631","     643","      96","    6740","     208","   48758","     153"," 5406557","     116","     208","35738449","     250","     334"," 4440755","     144","  199319","      33"
"map00564.Glycerophospholipid.metabolism","     356","   23710","     128","      34","     175","    5851","      71","     239","   24795","    9565","     815","     278","     103","      54","     160","      84","      39","     136","      64","       9","      19","     274","       6","     167","     136","  176297","     113","    1050","   83445","      26","   77737","      25","  139909","      65","  108132","      33","       5","     470","    2739","     474","     102","      51","      47","    3903","     157","     213","     658","      84","     219","      56","     449","    2668","     304","     110","     361","      19","    3641","      49","   27746","      42"," 2936633","      21","      42","19460700","      67","      53"," 3959816","      36","   42225","       8"
"map00051.Fructose.and.mannose.metabolism","     494","   42352","     278","      35","     218","   10076","     120","     458","   42058","   17239","    1251","     502","     199","      68","     237","      94","      76","     208","     129","      24","      26","     449","      17","     309","     243","  236219","     162","    1562","  145950","      88","  160689","      71","  192896","     143","  215385","      74","      17","     854","    4389","     802","     138","      53","      82","    6547","     215","     347","     814","     116","     329","     113","     617","    5785","     463","     246","     653","      40","    7264","      68","   36244","      56"," 5568450","      45","      84","40377805","     112","      98"," 4864478","      61","   88910","      13"
"map00521.Streptomycin.biosynthesis","     212","   16879","     111","      36","     147","    4466","      44","     180","   15504","    6068","     543","     301","      96","      26","     108","      45","      36","     110","      63","      14","      13","     159","      15","     118","     105","  107721","      83","     600","   54499","      54","   66553","      29","   77211","      53","   90830","      21","       4","     342","    1783","     217","      98","      29","      56","    2920","     107","     186","     347","      44","     149","      41","     272","    3287","     280","     114","     180","      20","    2998","      31","   12237","      23"," 1992206","      28","      35","16956042","      62","      80"," 1647868","      35","   45292","      13"
"map00562.Inositol.phosphate.metabolism","    194","   8151","     69","     16","    107","   3337","     38","    100","   7521","   2548","    248","    203","     66","     27","     85","     31","     30","    110","     35","     12","     16","     71","     11","     63","     40","  38778","     59","    324","  27511","     12","  30234","      5","  28731","     54","  41757","     13","      6","    187","   1313","    192","     51","     30","     29","   2202","     69","    168","    315","     36","    113","     25","    296","   1574","     92","     85","     98","     14","    990","     17","   5633","     22"," 901207","     19","     24","7996530","     31","     48"," 632728","     11","  23066","      7"
"map00052.Galactose.metabolism","     503","   43116","     287","      51","     198","    7172","      73","     526","   44352","   20085","    1481","     380","     150","      51","     195","      81","      60","     142","      81","       9","      21","     576","      11","     214","     227","  328484","      93","    1374","  132287","      60","  168953","      30","  196102","     102","  219699","      39","      11","    1200","    3694","     684","     141","      41","      68","    4554","     185","     274","     816","      83","     251","      77","     427","    3584","     178","     141","     785","      21","    7150","      36","   33926","      37"," 6081520","      21","      51","42434029","     112","      73"," 4768275","      47","   74609","      15"
"map00790.Folate.biosynthesis","     342","   22676","     151","      25","     212","    6565","      58","     193","   22899","    8998","     882","     333","     145","      34","     144","      73","      77","     150","      93","      23","      23","     325","      24","     186","     125","  132585","     146","     913","   83297","      44","   96882","      41","  118601","      91","  108433","      24","       9","     459","    2683","     542","      97","      56","      99","    4349","     141","     250","     528","      73","     203","     105","     574","    3870","     257","     146","     421","      22","    3973","      68","   22997","      50"," 3302604","      52","      65","18919601","      89","      80"," 2829315","      41","   59375","      19"
