"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00038.Tryptophan.metabolism..tryptophan....kynurenine....2.aminomuconate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00039.Monolignol.biosynthesis..phenylalanine.tyrosine....monolignol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00040.Tyrosine.biosynthesis..chorismate....arogenate....tyrosine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00042.Catecholamine.biosynthesis..tyrosine....dopamine....noradrenaline....adrenaline","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00043.Thyroid.hormone.biosynthesis..tyrosine....triiodothyronine.thyroxine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00044.Tyrosine.degradation..tyrosine....homogentisate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00045.Histidine.degradation..histidine....N.formiminoglutamate....glutamate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00046.Pyrimidine.degradation..uracil....beta.alanine..thymine....3.aminoisobutanoate","     40","   1854","     22","      0","      5","    655","      2","     19","   2342","    883","     86","     34","     14","      0","     12","      3","      1","     10","     21","      0","      3","     29","      3","     17","     18","   6712","     13","     96","   8074","     10","  10380","      2","  10345","     13","  10532","      2","      0","     47","    238","     51","     19","      0","      5","    365","     11","     29","     64","      8","     12","     11","     50","    626","     18","     20","     33","      3","    324","      8","   2283","      6"," 294640","      2","     10","1662957","      7","     16"," 241199","      2","   7959","      0"
"M00047.Creatine.pathway","     35","   2486","     17","      3","     17","    767","      9","     48","   2642","   1084","     72","     40","     21","      4","     21","      8","      4","     18","     16","      4","      0","     33","      6","     44","     24","  10063","     25","    120","  10171","      6","  11883","      6","  13727","      8","  12789","      8","      0","     60","    333","     66","      8","      9","      5","    497","     19","     29","     61","      9","     24","      8","     59","    680","     56","     25","     51","      4","    471","     12","   2754","      6"," 340782","      2","      8","1803396","      6","     11"," 302588","      5","   9229","      2"
"M00048.De.novo.purine.biosynthesis..PRPP...glutamine....IMP","     5","   748","     5","     1","     4","   154","     0","     8","   990","   567","    56","    20","     2","     1","     0","    11","     2","     4","     0","     2","     0","    23","     0","     2","    10"," 20438","     2","    20","  2169","     2","  3756","     0","  4131","     8","  3135","     0","     0","    28","   115","    31","     2","     0","     0","   102","     1","     7","     9","     2","     6","     0","    16","   198","     3","     4","    14","     5","   128","     2","   880","     0","104168","     0","     5","270389","     1","     3"," 62676","     4","  3003","     0"
"M00049.Adenine.ribonucleotide.biosynthesis..IMP....ADP.ATP","     3","     4","     0","     0","     0","    10","     0","     1","     3","     0","     2","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     2","     0","  5847","     0","     1","    84","     0","    57","     0","    17","     0","    97","     0","     0","     0","     9","     0","     0","     0","     0","     5","     0","     0","     2","     0","     0","     0","    13","     7","     0","     0","     0","     0","     9","     0","   189","     0","   380","     0","     0","188769","     0","     0","    42","     0","   180","     0"
"M00050.Guanine.ribonucleotide.biosynthesis..IMP....GDP.GTP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00051.De.novo.pyrimidine.biosynthesis..glutamine....PRPP.....UMP","     38","   2095","      7","      7","     24","   1006","      5","     25","   1824","    508","     84","     50","     25","     11","     11","      8","      3","     35","     15","      2","      2","     27","      7","     40","     19","  28531","     24","    104","   8415","      5","   7453","      1","   9606","     20","   7909","      6","      0","     16","    350","     71","     18","     10","      9","    589","     15","     50","     80","     13","     34","     15","     71","    802","     24","     32","     23","      4","    202","      5","   2713","      9"," 155418","      2","     12","1677626","     16","     20"," 249078","      3","   9343","      2"
"M00052.Pyrimidine.ribonucleotide.biosynthesis..UMP....UDP.UTP.CDP.CTP","     68","   3835","     19","      1","     41","   1803","     21","     35","   3034","   1142","    183","     61","     35","      6","     34","     17","     31","     16","     24","      2","      1","     56","      8","     51","     19","  19395","     36","    124","  14384","     14","  15601","      6","  18362","     32","  14503","      2","      0","     59","    698","    107","     22","     10","     22","   1114","     25","     82","     86","     24","     61","     33","    153","    936","     57","     49","     86","      6","    439","      6","   3472","      8"," 380347","      8","      9","3036322","     24","     18"," 341674","     10","  15655","      2"
"M00053.Deoxyribonucleotide.biosynthesis..ADP.GDP.CDP.UDP....dATP.dGTP.dCTP.dUTP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00055.N.glycan.precursor.biosynthesis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00056.O.glycan.biosynthesis..mucin.type.core","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00057.Glycosaminoglycan.biosynthesis..linkage.tetrasaccharide","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
