"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL","BKG","UA","BAL","BKG","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL"
"map00051.Fructose.and.mannose.metabolism","  1746"," 12246","  3163","  5513","  2360","  2792","  1588"," 10533","450029","473243","  1996","   563","  1479","   113","   336","   282","   197","   193","   268","    67","    43","  3737","   146","   371","  2019"," 29342"," 29315","    74","  2108","  3849","   290","    67"," 87508"," 87478","    41"," 10436","  6155","    87","311711","312624","  5635","    61","  7141","  8101","    33","  3811","  5620","  3615","  6158","   798","  3137","  3578","   592","   748","   106","   124"," 11727","   494","   145"," 26688","   128","217004","   314"," 28540"," 28456","   112"," 16149"," 11292","   257","    87"," 68563"," 63814","  2398","    35"," 17943"," 17756","   356","  6075","  3408","    34"
"map00521.Streptomycin.biosynthesis","  16902","  95984","  41297","  67599","  39056","  54720","  17385","  23366"," 278000"," 432500","   1090","   1685","  11122","    655","   2798","   3157","   1799","    916","   1444","    536","    372","  24367","   1576","    640","   9863"," 244408"," 244028","   1108","   3386","  21279","   3037","    851"," 297810"," 297499","    244","  48460","  25444","    612"," 586462"," 533337","  57687","    897","  92011","  76376","    635","  52255","  84683","  58855","  96007","   1265","  35487","   4491","    819","   7365","    670","   1183","  87140","    545","   1139","  52055","    416","1357293","    387"," 199328"," 199223","   1109","  97832","  67811","    408","   1129","1071988","1054271","  15109","    550"," 212472"," 210624","   2801","  22157","  11871","    360"
"map00562.Inositol.phosphate.metabolism","  655"," 3306"," 1528"," 2404","  406"," 1283","  522"," 1661","68083","82084","  283","  166","  760","   38","   82","  118","   90","   39","   87","   13","    2","  721","   51","   33","  394"," 2987"," 2963","   42","  527"," 1317","   60","   10","12415","12409","   14"," 5282"," 2423","    8","46637","42528"," 2057","   24"," 1700"," 3357","   16"," 1652"," 2012"," 1143"," 2336","   98"," 1527","  791","  115","  338","   22","   39"," 6003","   90","   15"," 5506","   29","32878","   59","11598","11582","   43"," 6001"," 3747","   36","   29","12013","10276","  478","   11"," 3052"," 3025","   67"," 2756"," 1644","   11"
"map00052.Galactose.metabolism","  1474","  5877","  2558","  3720","  1441","  3020","  1042"," 10003","386870","423026","  1234","   488","  1105","    68","   284","   295","   187","   124","   231","    45","    21","  2087","   105","   215","  1706"," 14235"," 14209","    51","  1507","  2810","   209","    44"," 46771"," 46753","    48","  6764","  3354","    49","215835","214756","  3649","    63","  5996"," 10556","    38","  3669","  3469","  2510","  5237","   538","  2245","  2451","   409","   623","    82","   105"," 10321","   258","    93"," 23807","   107","162000","   248"," 19315"," 19236","    55"," 11311","  7563","   175","   115"," 47526"," 44378","  1806","    33"," 19471"," 19347","   257","  6125","  2798","    19"
"map00790.Folate.biosynthesis","   976","  4480","  1851","  3552","  1153","  1035","   820","  5631","216437","229305","   433","   191","   959","    50","   133","   140","   128","   100","   170","    21","     6","  2184","    85","   232","   428","  4560","  4531","    41","   915","  2011","   109","    18"," 21681"," 21661","    15","  4442","  2099","    16"," 90475"," 88440","  3131","    47","  2130","  6504","    11","  2581","  1443","  1315","  3437","   208","  2870","  1024","   267","   343","    28","    64","  6415","    98","    53","  8294","    56"," 80651","   150"," 22863"," 22823","    86","  8617","  3822","    86","    14"," 11363","  9138","  1252","    15","  4169","  4122","   251","  3234","  1827","    11"
"map00520.Amino.sugar.and.nucleotide.sugar.metabolism","   2784","  15795","   5458","   7541","   3347","   4383","   3244","  24564"," 950494","1000303","   2634","   1280","   2112","    125","    509","    631","    435","    404","    429","     65","     72","   3865","    346","    697","   2844","  31319","  31270","    111","   3266","   5813","    418","    106","  89642","  89598","     99","  14030","   7207","    115"," 505513"," 506280","   6955","    182","   9862","  14863","     61","   6864","   6918","   4502","  11402","   1081","   4319","   5622","   1025","   1310","    198","    235","  19430","    672","    206","  41632","    277"," 370006","    434","  44056","  43904","    159","  25378","  16204","    395","    229","  79001","  72015","   3947","    106","  29275","  28953","    577","  10163","   5089","     59"
"map00541.O.Antigen.nucleotide.sugar.biosynthesis","  17391"," 100758","  42268","  69950","  39737","  55915","  18367","  27256"," 449306"," 587381","   1218","   1879","  11314","    682","   2913","   3223","   1905","    962","   1521","    546","    382","  24608","   1624","    687","   9559"," 244770"," 244398","   1109","   4012","  22104","   3059","    851"," 309666"," 309341","    236","  52066","  27155","    648"," 616570"," 562069","  58888","    930","  93736","  79442","    638","  52916","  86711","  59755","  98602","   1319","  37427","   5377","    982","   7663","    694","   1198","  89255","    634","   1151","  57552","    454","1372413","    486"," 205253"," 205126","   1126"," 102517","  70570","    418","   1179","1073997","1054831","  15411","    573"," 211197"," 209331","   2959","  25655","  13673","    365"
"map00340.Histidine.metabolism","  1332","  3910","  2269","  2103","  1622","  2875","   793","  3546"," 41964"," 88459","   192","   215","   818","    62","   160","   127","    82","    44","   169","    49","    27","  1631","    69","    77","   237","  4415","  4398","    41","   754","  3583","    73","    46","  8613","  8597","    83","  5970","  3241","    19","106188","105150","  3229","    15","  2532","  5127","    15","  3964","  2456","  1548","  3721","   228","  1775","   881","   108","   366","    48","    36","  7177","    95","    50"," 21296","    75"," 26694","    65"," 12025"," 12023","    53","  7540","  3514","    60","    33"," 14275"," 10046","   541","    24","  5948","  5892","   102","  3889","  1740","    22"
"map00400.Phenylalanine..tyrosine.and.tryptophan.biosynthesis.","  1366","  6224","  2631","  3794","  2080","  2547","  1343","  9595","363434","341488","   685","   433","   960","    53","   262","   225","   115","   136","   177","    37","    22","  2658","   137","   267","  1198"," 11221"," 11201","    70","  1185","  2240","   116","    19"," 26467"," 26439","    45","  8068","  3290","    33","128054","124455","  3796","    51","  3275","  6491","    12","  5606","  4024","  1948","  4532","   368","  3762","  1896","   338","   445","    67","   102","  8903","   223","    71"," 13619","    91","126647","   136"," 20728"," 20674","    71"," 11186","  5458","   131","    41"," 16799"," 13642","  1725","    13","  6870","  6808","   286","  4852","  2394","    24"
"map00999.Biosynthesis.of.various.plant.secondary.metabolites","  441"," 2015","  721"," 1689","  455","  319","  470"," 2943","73608","78036","  256","  121","  512","   20","   23","   71","   23","   30","   42","   10","    5","  616","   24","   42","  233"," 2781"," 2777","    6","  308","  767","   43","    7"," 8835"," 8828","   19"," 1628","  776","    8","45567","44948","  910","   11"," 1021"," 1944","    5"," 1658","  870","  638"," 1275","  123","  809","  344","   77","  153","   19","   16"," 1612","  100","   23"," 4154","   11","26463","   33"," 3237"," 3224","   17"," 2588"," 1651","   49","   23"," 6975"," 6124","  543","   10"," 1741"," 1723","   68"," 1371","  624","   15"
