"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"K00175..korB..oorB..oforB..2.oxoglutarate.2.oxoacid.ferredoxin.oxidoreductase.subunit.beta..EC.1.2.7.3.1.2.7.11..","   0","   0"," 204","   4","   2","  24","  36","  78","4694","5919","  43","   4"," 106","   0","   2","   2","   2","   2","   0","   0","   0","  20","   0","   6","  21","   2","   1","  40","   2","   0"," 162","   3","  62","   0","4576","   0","   0","   2","  92","   0","  16","   0","   1"," 302","  15","   0","  38","   6","  14","   0","   1"," 172","   2","   0"," 443","   4","1661","   4","   7","   0"," 341","   0","   0"," 233","   1","   2"," 313","  14","   4","   0"
"K00382..DLD..lpd..pdhD..dihydrolipoamide.dehydrogenase..EC.1.8.1.4..","   114","  1585","   202","   496","   418","   223","   359","  2928","292171","242919","   336","   246","   361","    10","    72","    81","    60","   108","    41","     7","     3","   408","    77","   120","   465","  2460","    17","   289","    94","     1"," 15539","    12","  1142","     6"," 64798","   580","    64","  1014","   166","     3","   331","   438","   334","   708","   173","   609","   913","   274","    98","    16","    67","  1443","    72","    75"," 13272","    56"," 97738","    75"," 13218","    18","  1360","    60","    20","  2727","   274","     7","  1827","   105","   554","     6"
"K00627..DLAT..aceF..pdhC..pyruvate.dehydrogenase.E2.component..dihydrolipoamide.acetyltransferase...EC.2.3.1.12..","   103","   349","   314","   415","   231","    62","   203","   866","120224"," 97855","   126","    94","   132","     6","    33","    51","    10","    34","    10","     5","     0","   183","    29","    10","   317","   995","     6","    96","    28","     2","  1242","     6","   222","    12"," 19342","    72","    20","   369","   926","     0","   229","    83","   160","   430","    78","   636","   449","    92","    92","    18","    14","   953","    40","    22","  5725","    13"," 43012","    29","  1095","    17","   412","    33","     2","   289","   172","     2","   611","    24","   269","     5"
"K00844..HK..hexokinase..EC.2.7.1.1.","  1","  6","  0","  0","  0"," 65","  0"," 78"," 69","  7","  0","  0","  2","  0","  0","  0","  0","  1","  1","  2","  0"," 30","  2","  0"," 14","286","  0","  0","  0","  2","  0","  4","  0","  0","  0","  0","  0"," 44"," 64","  0","  0","  0","  8","  0","  4","  0","  0","  0","  0","  1","  0"," 87","  2","  1","  0","  0"," 22","  2"," 37","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
"K00845..glk..glucokinase..EC.2.7.1.2.","   99","  546","  224","   43","  120","  302","   35","  490","33901","40767","   87","   25","   94","    0","   21","   15","   10","    6","    3","    0","    2","  228","    7","   35","  100"," 1530","    3","   20","   13","    7"," 3009","    8","  213","    0","23921","  356","   15","  286","  346","    2","  665","  160","   29","  544","   39","   45","   51","   43","   13","    4","    7","  914","   46","   10"," 1216","   11","19673","   14"," 1981","    6","  483","   21","   18"," 3465","   25","    2"," 2691","   12","   82","    3"
"K00850..pfkA..PFK..6.phosphofructokinase.1..EC.2.7.1.11..","    97","  1023","    34","   185","     7","     3","    98","  1767","118761","117566","   371","   127","     6","    14","    24","    27","    27","    41","    21","     7","     2","     3","    26","    36","   573","  2305","     4","   261","    33","     4","  5499","     6","   374","     3"," 31264","     0","     4","   762","   514","     0","   141","   185","   210","   508","   121","    54","   738","   100","    36","    17","    30","   496","    49","    29","  6617","    14"," 52769","    81","   540","     4","   512","    33","     4","  5137","   390","     2","  1109","    45","    23","     2"
"K00873..PK..pyk..pyruvate.kinase..EC.2.7.1.40..","   228","  2004","   442","   163","   253","   346","   186","  4255","201953","196573","   539","   152","   151","    14","    48","    54","    32","    51","    43","     6","     8","    16","    76","   155","   690","  2491","    14","   296","    73","    10"," 27513","    14","   234","    10"," 73538","   552","    27","   937","   963","     2","   313","   591","   171","  1460","   153","   599","  1093","   200","    50","    29","    40","   552","    45","    32"," 10428","    52"," 73402","    74","  6114","    15","  1228","    68","     8"," 13814","   631","    14","  2985","    62","   427","     6"
"K00886..ppgK..polyphosphate.glucokinase..EC.2.7.1.63.","   0","   0","   0","   1","   8","  10","   4"," 296","3699","3476","   2","   6","   0","   1","   2","   2","   0","   2","  12","   2","   0","  95","   0","   0","   0"," 170","   1","  21","   0","   0","4042","   1"," 123","   0","4160","   0","   2"," 213","  26","   0","   0","   0","   6","   2","   2","   2","  63","   1","   0","   0","   0"," 131","   0","   0"," 129","   0"," 355","   1"," 454","   2"," 548","   8","   2","2369","   0","   0"," 296","   2","   3","   0"
"K00895..pfp..PFP..diphosphate.dependent.phosphofructokinase..EC.2.7.1.90..","   67","  383","   30","  204","   65","    2","    5","  160"," 8046"," 7971","   24","   10","   16","    0","    4","    8","    1","    1","    6","    1","    0","  169","    0","    8","    0","   10","    0","   42","    6","    2"," 5088","    1","  142","    4","13131","    0","    0","  145","   12","    4","  250","  170","    0","   47","   12","  207","    2","    7","    2","    0","    0","    2","    4","    0","  432","    0"," 1338","    6","  303","    0","  194","    4","    4"," 3885","    2","    0"," 1210","    0","   62","    0"
"K00918..pfkC..ADP.dependent.phosphofructokinase.glucokinase..EC.2.7.1.146.2.7.1.147.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
