"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00023.Tryptophan.biosynthesis..chorismate....tryptophan","  83"," 271","   0"," 756","  37","  20","  43"," 492","8591","9297","  27","  34","   8","   2","   4","   1","   3","   3","  11","   2","   1","   0","   2","   8","   8"," 126","   1","   9","  11","   0","4116","   7"," 393","   4","8479"," 206","   4","  81"," 212","   2"," 119"," 347","  37"," 357","  21","   7","  14","   5","  22","   0","   4"," 604","  23","   3"," 623","   0","2040","   9"," 806","   1"," 505","   3","   0","3029","  10","   2","1091","   6"," 154","   0"
"M00024.Phenylalanine.biosynthesis..chorismate....phenylpyruvate....phenylalanine","  0","228"," 47","  0","  0","  0"," 16","  0","  0","  0","  1","  0","  1","  1","  0","  2","  0","  1","  0","  8","  0","  0","  0","  0"," 12","277","  1","  5","  0","  0","  1","  0"," 33","  1","  1"," 37","  0","  0"," 78","  0"," 53"," 37","  2","150","  3"," 18","  0","  0","  0","  0","  1","203","  2","  0","  0","  2"," 18","  0","174","  6"," 82","  0","  0","  0","  0","  1","  6","  0","  0","  1"
"M00025.Tyrosine.biosynthesis..chorismate....HPP....tyrosine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00026.Histidine.biosynthesis..PRPP....histidine"," 162"," 762"," 331","  73"," 109"," 428"," 346","  45","1185","2234","  39","  23"," 234","   0","  13","   3","  17","   2","   4","   6","   2","  12","   2","   0","  23","  87","   6"," 108","   2","   1"," 491","   1"," 461","   9","1162","1114","   0"," 152"," 682","   1"," 253"," 520"," 419"," 297","   9","  23","   6","   0","   9","   0","   2","1373","  12","   3"," 705","   0"," 543","   6"," 207","  10"," 199","   2","   0"," 578","  12","   2","1096","  10"," 512","   0"
"M00027.GABA..gamma.Aminobutyrate..shunt","  0","  0"," 63","  0","  6","  0","  2","  0","252","146","  6","  1"," 27","  0","  0"," 26","  2","  0","  0","  0","  0","  0","  2","  0"," 14"," 28","  0","  0","  0","  2"," 94","  3"," 30","  0"," 63","  0","  0","123"," 79","  0"," 16","  0","  0","  0","  1","  0","  0","  2","  0","  2","  0","242","  1","  0","140","  2"," 57","  1"," 56","  0"," 20","  1","  0"," 90"," 13","  0","  0","  0","  0","  1"
"M00028.Ornithine.biosynthesis..glutamate....ornithine","  222","  888","  168","  248","  155","  264","   28","  272"," 6634","10445","   36","   48","    3","   13","   18","   25","    7","   25","   10","    4","   18","  125","   10","    5","   27","  215","   25","  111","    2","   23","  242","   10","  579","   10","  637","  219","    2","  336","  700","    1","   73","  435","  204","  183","   31","  695","   48","   16","   41","   24","    8"," 1238","   27","   15","  704","   17"," 4108","   12"," 5100","   11","  184","   29","    6","  405","  137","   14","  618","    7","  200","   25"
"M00029.Urea.cycle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00030.Lysine.biosynthesis..AAA.pathway..2.oxoglutarate....2.aminoadipate....lysine","   88","   66","  145","  950","  202","  115","   39"," 1794","57131","57980","  169","   49","  112","    5","   47","   53","    9","   25","   19","    7","    4","  133","   25","   23","   92"," 1956","    7","   30","   33","    5"," 2249","    6","  198","    4","31405","   32","    8","  750","  239","    0","  138","   61","   16","  647","   53","  104","  432","   46","   28","   13","    8","  512","   28","    2"," 2091","   12","12165","   35"," 1898","    5","  416","   18","    2"," 1955","  320","    7","  428","   32","  161","    0"
"M00031.Lysine.biosynthesis..mediated.by.LysW..2.aminoadipate....lysine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00032.Lysine.degradation..lysine....saccharopine....acetoacetyl.CoA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
